CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Pizzas 20 cm,Bacon Catupiry,PIZZA *P* - BACON CATUPIRY,10656,40.9,"Tiras de bacon, mussarela, orégano e Catupiry Original."
Pizzas grandes,Metade Pepperoni cream cheese,METADE *G* - CREAM PEPPERONNI,10658,39.95,"Pepperoni, mussarela, orégano e cream cheese."
Pizzas grandes,Pepperoni cream cheese,PIZZA *G* - CREAM PEPPERONNI,10660,79.9,"Pepperoni, mussarela, orégano e cream cheese."
Pizzas 20 cm,Pepperoni cream cheese ,PIZZA *P* - CREAM PEPPERONNI,10661,42.9,"Pepperoni, mussarela, orégano e cream cheese."
Pizzas Grandes,4 Sabores - Aldeota ,4 SABORES *G* - ALDEOTA,10675,16.99,"Linguiça italiana, pimenta calabresa, mussarela, queijo provolone, cebola roxa e alho."
Pizzas Grandes,4 Sabores - Amici's ,4 SABORES *G* - AMICIS,10676,20.99,"Pepperoni, linguiça italiana, mussarela, pimentão, champignon fresco, cebola e orégano."
Pizzas Grandes,4 Sabores - Bacon Catupiry,4 SABORES *G* - BACON CATUPIRY,10677,19.99,"Tiras de bacon, mussarela, orégano e Catupiry Original."
Pizzas Grandes,4 Sabores - Belchior ,4 SABORES *G* - BELCHIORS,10678,20.99,"Rúcula, tomate seco, champignon fresco, mussarela, provolone e orégano."
Pizzas Grandes,4 Sabores - Brasileira ,4 SABORES *G* - BRASILEIRA,10679,17.99,"Frango refogado, Catupiry Original, mussarela, azeitonas sem caroço, milho verde e orégano."
Pizzas Grandes,4 Sabores - Calábria,4 SABORES *G* - CALABRIA,10680,14.99,"Calabresa, cebola roxa, mussarela e orégano."
Pizzas Grandes,4 Sabores - Favorita,4 SABORES *G* - FAVORITA,10681,18.99,"Pepperoni, cogumelos frescos, linguiça italiana, mussarela e orégano."
Pizzas Grandes,4 Sabores - Fortaleza ,4 SABORES *G* - FORTALEZA,10682,20.99,"Carne de sol, macaxeira, mussarela, Catupiry Original, orégano."
Pizzas Grandes,4 Sabores - Italiana ,4 SABORES *G* - ITALIANA,10683,15.99,"Rúcula, tomate seco e mussarela."
Pizzas Grandes,4 Sabores - Marguerita,4 SABORES *G* - MARGUERITA,10684,14.99,"Mussarela, tomate fresco, manjericão e orégano."
Pizzas Grandes,4 Sabores - Mussarela ,4 SABORES *G* - MUSSARELA,10685,14.99,"Molho de tomate artesanal, muita mussarela e orégano."
Pizzas Grandes,4 Sabores - Pepperoni cream cheese ,4 SABORES *G* - CREAM PEPPERONNI ,10686,20.99,"Pepperoni, mussarela, orégano e cream cheese."
Pizzas Grandes,4 Sabores - Pepperoni ,4 SABORES *G* - TRAD PEPPERONNI,10687,19.99,"Pepperoni, mussarela e orégano."
Pizzas Grandes,4 Sabores - Portuguesa ,4 SABORES *G* - PORTUGUESA,10688,16.99,"Calabresa, mussarela, azeitona, ovo, presunto, cebola e orégano."
Pizzas Grandes,4 Sabores - Quatro Mineiros,4 SABORES *G* - QUATRO MINEIROS,10689,19.99,"Mussarela, Catupiry Original, provolone, gorgonzola e orégano."
Pizzas Grandes,4 Sabores - Samba do Amicis ,4 SABORES *G* - SAMBA DO AMICIS,10690,17.99,"Linguiça italiana, bacon, mussarela, cebola roxa, cebolinha e orégano."
Pizzas Grandes,4 Sabores - Vegetariana,4 SABORES *G* - VEGETARIANA,10691,16.99,"Mussarela, tomate fresco, pimentão, cebola, azeitonas, champignons frescos."
Outros,Pepperoni,**ADC - 30G PEPPERONI,10710,7.9,30g
Outros,Linguiça Italiana,**ADC - 15G L TOSC PRE ASSAD,10711,3.9,15g
Outros,Presunto,**ADC - 10G PRESUNTO RALADO,10712,2.9,10g
Outros,Ovo,**ADC - 25G OVO COZIDO,10713,2.9,25g
Outros,Catupiry original,**ADC - 30G CATUPIRY ORIGINAL,10714,5.9,30g
Outros,Cream Cheese,**ADC - 30G CREAM CHEESE,10715,4.9,30g
Outros,Gorgonzola,**ADC - 10G GORGONZOLA,10716,5.9,10g
Outros,Champignon fresco,**ADC - 15G COGUMELO PARIS,10717,4.9,15g
Outros,Milho,**ADC - 10G MILHO VERDE,10718,1.9,20g
Outros,Alho frito,**ADC - FLZ ALHO FRITO,10719,0.9,2g
Outros,Bacon,**ADC - 50G BACON PRE ASSAD,10732,15.9,50g
Outros,Calabresa,**ADC - 100G CALABRESA,10733,9.9,100g
Outros,Pepperoni,**ADC - 80G  PEPPERONI,10734,15.9,80g
Outros,Linguiça Italiana,**ADC - 50G L TOSC PRE ASSAD,10735,9.9,50g
Outros,Presunto,**ADC - 40G PRESUNTO RALADO,10736,7.9,40g
Outros,Ovo,**ADC - 100G OVO COZIDO,10737,6.9,100g
Outros,Catupiry original,**ADC - 80G CATUPIRY ORIGINAL,10738,12.9,80g
Outros,Cream Cheese,**ADC - 80G CREAM CHEESE,10739,10.9,80g
Outros,Gorgonzola,**ADC - 30G GORGONZOLA,10740,14.9,30g
Outros,Champignon fresco,**ADC - 50G COGUMELO PARIS,10741,12.9,50g
Outros,Milho,**ADC - 30G MILHO VERDE,10742,3.9,30g
Outros,Alho frito,**ADC - FLZ ALHO FRITO,10743,2.9,5g
Outros,Bacon,**ADC - 20G BACON PRÉ ASSAD,10744,7.9,20g
Outros,Calabresa,**ADC - 30G CALABRESA,10745,3.9,30g
Outros,Suíno defumado com geleia de pimenta artesanal.,4 SABORES *G* - SUINA,10800,20.99,"Lombo suíno desfiado, cebola roxa em tiras, orégano, mussarela, cream cheese e geleia de pimenta artesanal."
Pizzas grandes,Suíno defumado com geleia de pimenta artesanal.,PIZZA *G* - SUINA,10801,79.9,"Lombo suíno desfiado, cebola roxa em tiras, orégano, mussarela, cream cheese e geleia de pimenta artesanal."
Outros,Suíno defumado com geleia de pimenta artesanal,METADE *G* - SUINA,10802,39.95,"Lombo suíno desfiado, cebola roxa em tiras, orégano, mussarela, cream cheese e geleia de pimenta artesanal ."
Outros,Suíno defumado com geleia de pimenta artesanal.,PIZZA *P* - SUINA,10803,42.9,"Lombo suíno desfiado, cebola roxa em tiras, orégano, mussarela, cream cheese e geleia de pimenta artesanal."
