CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Outros,Creme de frango Família,FAM - CREME FRANGO,40165,79.9,Creme de frango tradicional. 
Outros,Vatapá de frango Família,FAM - VATAPA FRANGO,40166,79.9,Vatapá de frango tradicional.
Outros,Frango à parmegiana Família,FAM - FGO PARMEGIANA,40167,94.9,Frango empanado com molho de tomates frescos e finalizado com queijo mussarela. 
Outros,Frango recheado Família,FAM - FGO RECHEADO,40168,94.9,Frango empanado e recheado com queijo e presunto. 
Outros,Peixe à delicia Família,FAM - PEIXE DELICIA,40170,134.9,"Filé de tilápia servido com bananas grelhadas, molho de queijos e queijo mussarela. "
Outros,Strogonoff de frango Família,FAM - STROG DE FRANGO,40172,99.9,Strogonoff de frango. 
Outros,Strogonoff de carne Família,FAM - STROG DE CARNE,40173,114.9,Strogonoff de Carne. 
Pratos Individuais,Strogonoff de frango,POP50-STROG DE FRANGO,40174,32.9,"Strogonoff de frango, servido com arroz branco e batata palha."
Pratos Individuais,Strogonoff de carne,POP50-STROG DE CARNE,40175,38.9,"Strogonoff de carne, servido com arroz branco e batata palha."
Pratos Individuais,Milanesa de carne com espaguete ao molho de queijos,POP50-ESP QUEIJOS CARNE CROC,40176,36.9,Milanesa de carne servido sobre delicioso espaguete ao molho de queijos.
Pratos Individuais,Milanesa de carne com espaguete ao molho sugo,POP50-ESP SUGO CARNE CROC,40177,36.9,Milanesa de carne servido sobre molho de tomates frescos.
Monte seu Tipico,Carne de Sol com Queijo Coalho,EXC-CARN SOL C/ COALH,40178,42.9,"Carne de sol acebolada com cubos de queijo coalho, escolha 2 acompanhamentos. "
Monte seu Tipico,Estrogonofe de Carne ,EXC-ESTROGONOFE CARNE,40179,42.9,"Estrogonofe de carne e champignon, com tempero da Chef Van."
Monte seu Tipico,Carne Moída com Banana frita,EXC-CARN MOID E BANAN,40180,39.9,"Carne moída temperada com temperos secretos da Chef Van, escolha 2 acompanhamentos. "
Monte seu Tipico,Carne Moida com Ovo estrelado,EXC-CARN MOID E OVO FRITO,40181,39.9,"Carne moída com tempero secreto da Chef Van, com ovo frito. Escolha 2 acompanhamentos. "
Monte seu Tipico,Carne de sol no arrozinho cremoso,EXC-CARN SOL ARRZ PCL,40182,42.9,"Carne de sol acebolada sobre arroz cremoso, com picles de cebola roxa. Escolha 2 acompanhamentos. "
Monte seu Tipico,Vatapá de Frango da Chef Van,EXC-VATAPA DE FRANGO,40183,34.9,"Vatapá de frango da Chef Van, escolha 2 acompanhamentos. "
