CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
Outros,Fusilli integral e alface americana,FUSILI 70G+MIX ALF 80G,80153,0,"Base de fusilli integral cozido, alface americana e alface roxa."
Outros,Falafel,FALAFEL 5UN,80200,0,"Bolinhos de grão-de-bico, temperado com especiarias."
Outros,Hamburguer de lentilha,HAMB. LENTILHA 2UND,80201,0,Hambúrguer de lentilha assado.
Outros,Frango desfiado,FGO DESFIADO 70G,80202,0,frango desfiado refogado com cebola e salsinha.
Outros,Peito de peru,PEITO PERU 60G,80203,0,Peito de peru ralado.
Outros,Carne do sol,CARNE SOL 70G,80204,4.9,Carne do sol desfiada.
Outros,Camarão,CAMARAO GRELHADO 70G,80205,9.9,Camarão grelhado.
Outros,Caponata de berinjela e abobrinha,CAPONAT BERINJELA 80G,80206,0,"Berinjela, abobrinha, cebola, uva passas e azeitonas."
Outros,Salmão em lascas,SALMAO LASCAS 60G,80207,9.9,Salmão em lascas.
Outros,Tomate em cubos,TOMATE EM CUBOS 25G,80250,0,Tomate em cubos.
Outros,Milho verde,MILHO VERDE 20G,80251,0,Milho verde.
Outros,Cenoura ralada,CENOURA RALADA 25G,80252,0,Cenoura ralada.
Outros,Tomate seco,TOMATE SECO 25G,80253,0,Tomate seco.
Outros,Grão-de-bico,GRÃO DE BICO 50G,80254,0,Grão de bico temperado com especiarias e suco de limão.
Outros,Ovo de codorna,OVO CODORNA-3 UNID,80255,0,Ovos de codorna.
Outros,Mix de grãos tostados,GRAOS TOSTADOS 10G,80256,0,"Aveia, linhaça, gergelim branco e gergelim preto."
Outros,Castanhas granuladas,CASTANHA TRITURAD 15G,80257,0,Castanha de caju granulada.
Outros,Couve crispy,COUVE CRISPY 10G,80258,0,Couve crispy.
Outros,Picles de cebola roxa,PICLS CEBOLA ROXA 25G,80259,0,Picles de cebola roxa.
Outros,Queijo ricota,RICOTA RALADA 25G,80300,0,Queijo ricota ralado. 
Outros,Queijo minas,QUEIJO MINAS RLD 25G,80301,0,Queijo minas ralado.
Outros,Queijo coalho,COALHO RALADO 25G,80302,0,Queijo coalho ralado.
Outros,Queijo parmesão,PARMESAO SOODELI 15G,80303,0,Queijo parmesão premium ralado.
Outros,Queijo gorgonzola,QUEIJO GORGONZOLA 20G,80304,0,Queijo gorgonzola em pedaços.
