CATEGORIA,NOME CARDAPIO,NOME PDV,CÓD PDV,PREÇO VENDA CHEIO,DESCRICAO ITEM CARDAPIO
BUONI - ADICIONAIS SLICES,Doritos,**ADC - 10G DORITOS,55173,2.9,10g
BUONI - ADICIONAIS PIZZA GDE,Calabresa,**ADC - 25UN CALABRESA FAT,55174,5.9,80g
BUONI - ADICIONAIS PIZZA GDE,Alho frito,**ADC - 5G ALHO FRITO,55175,3.9,5g
BUONI - ADICIONAIS PIZZA GDE,Ovo,**ADC - 80G OVO COZIDO,55176,5.9,80g
BUONI - ADICIONAIS PIZZA GDE,Presunto,**ADC - 80G PRESUNTO RALADO,55177,5.9,80g
BUONI - ADICIONAIS PIZZA GDE,Milho,**ADC - 40G MILHO VERDE,55178,3.9,40g
BUONI - ADICIONAIS PIZZA GDE,Bacon,**ADC - 8UN TIRAS DE BACON,55179,15.9,8 unidades
BUONI - ADICIONAIS PIZZA GDE,Cream Cheese,**ADC - 80G CREAM CHEESE,55180,9.9,80g
BUONI - ADICIONAIS PIZZA GDE,Gorgonzola,**ADC - 60G GORGONZOLA,55181,13.9,60g
BUONI - ADICIONAIS PIZZA GDE,Geleia de pimenta artesanal.,**ADC - 100G GELEIA DE PIMENTA,55182,4.9,100g
BUONI - ADICIONAIS PIZZA GDE,Cebola caramelizada,**ADC - 80G CEBOLA CARAMELIZADA,55183,4.9,80g
BUONI - ADICIONAIS PIZZA GDE,Creme de cheddar,**ADC - 80G CREME CHEDDAR,55184,9.9,80g
BUONI - ADICIONAIS PIZZA GDE,Doritos,**ADC - 40G DORITOS,55185,9.9,40g
